Designator,Mid X,Mid Y,Rotation,Layer
BATT_CONNECT1,200.207594,-80.856932,180.0,top
BATT_CONNECT2,204.57082,-80.784412,180.0,top
BOOT_R1,181.054908,-44.826436,0.0,top
BOOT_R2,178.9,-51.9,270.0,top
C1,167.877999,-47.330321,90.0,top
C2,152.539363,-47.145668,180.0,top
CAM_SIOC_R1,175.36105,-79.370582,0.0,top
CAM_SIOD_R1,175.36105,-82.320582,0.0,top
D1,170.136844,-42.778567,180.0,top
D2,178.359432,-69.453114,270.0,top
ENTIMING1,144.565137,-49.724044,0.0,top
EN_P1,191.219712,-44.826436,0.0,top
EN_R1,172.911997,-49.189385,90.0,top
IC1,161.863777,-61.748355,270.0,top
J1,160.692719,-43.72513,180.0,top
J3,185.422422,-70.619749,90.0,top
J4,159.820731,-78.783523,0.0,top
LASERHEADER1,205.82472,-62.494433,0.0,top
MODULEFAST1,199.005786,-47.441021,0.0,top
MODULEOUTPUT1,170.674665,-47.339283,90.0,top
PANSERVO1,210.907122,-69.246767,0.0,top
REGULATOR1,183.322944,-61.236113,180.0,top
REGULATORINPUT1,183.067991,-67.545069,0.0,top
REGULATOROUTPUT1,191.6,-57.92,0.0,top
R_PROG1,185.594866,-73.908273,180.0,top
SERVO/LASERBULK1,196.972825,-66.786671,270.0,top
TILTSERVO1,211.052334,-56.976396,0.0,top
U1,192.66671,-74.099476,270.0,top
U3,152.522105,-42.863222,180.0,top
